### first equation  : (1 * (1 + (2 * 6))) = 13
### second equation : ( (1 + 1) * (2 * 6) ) = 24

(1, 5, 5, 4) ('-', '+', '*') [24] [14]
(1, 5, 5, 6) ('-', '+', '*') [34] [24]
(1, 5, 5, 6) ('-', '-', '*') [24] [26]
(1, 5, 5, 9) ('*', '+', '-') [9] [24]
(1, 5, 5, 10) ('-', '*', '-') [24] [0]
(1, 5, 6, 1) ('*', '-', '*') [1] [24]
(1, 5, 6, 3) ('+', '+', '*') [24] [24]
(1, 5, 6, 5) ('-', '+', '*') [34] [24]
(1, 5, 6, 5) ('-', '-', '*') [24] [26]
(1, 5, 6, 10) ('*', '+', '-') [9] [24]
(1, 5, 7, 4) ('+', '-', '*') [24] [32]
(1, 5, 7, 4) ('-', '-', '*') [22] [24]
(1, 5, 8, 10) ('+', '+', '+') [24] [24]
(1, 5, 9, 2) ('+', '+', '*') [24] [24]
(1, 5, 9, 9) ('+', '+', '+') [24] [24]
(1, 5, 9, 10) ('+', '*', '+') [96] [24]
(1, 5, 9, 10) ('+', '/', '+') [4.7999999999999998] [24.0]
(1, 5, 9, 10) ('*', '+', '+') [24] [114]
(1, 5, 9, 10) ('/', '+', '+') [24.0] [3.1666666666666665]
(1, 5, 10, 2) ('+', '-', '*') [16] [24]
(1, 5, 10, 2) ('-', '+', '*') [24] [14]
(1, 5, 10, 3) ('-', '+', '*') [34] [24]
(1, 5, 10, 3) ('-', '-', '*') [24] [26]
(1, 5, 10, 8) ('+', '+', '+') [24] [24]
(1, 5, 10, 9) ('+', '*', '+') [96] [24]
(1, 5, 10, 9) ('+', '/', '+') [4.7999999999999998] [24.0]
(1, 5, 10, 9) ('*', '+', '+') [24] [114]
(1, 5, 10, 9) ('/', '+', '+') [24.0] [3.1666666666666665]
(1, 5, 10, 10) ('+', '-', '+') [16] [24]
(1, 5, 10, 10) ('-', '+', '+') [24] [14]
(1, 6, 1, 3) ('*', '*', '+') [24] [24]
(1, 6, 1, 3) ('*', '/', '+') [0.66666666666666663] [24.0]
(1, 6, 1, 3) ('/', '*', '+') [24.0] [0.66666666666666663]
(1, 6, 1, 4) ('*', '*', '*') [24] [24]
(1, 6, 1, 4) ('*', '*', '/') [24.0] [24.0]
(1, 6, 1, 4) ('*', '/', '*') [0.66666666666666663] [24.0]
(1, 6, 1, 4) ('*', '/', '/') [0.66666666666666663] [24.0]
(1, 6, 1, 4) ('/', '*', '*') [24.0] [0.66666666666666663]
(1, 6, 1, 4) ('/', '*', '/') [24.0] [0.66666666666666663]
(1, 6, 1, 5) ('*', '*', '-') [24] [24]
(1, 6, 1, 5) ('*', '/', '-') [0.66666666666666663] [24.0]
(1, 6, 1, 5) ('/', '*', '-') [24.0] [0.66666666666666663]
(1, 6, 2, 2) ('*', '*', '+') [24] [24]
(1, 6, 2, 2) ('*', '*', '*') [24] [24]
(1, 6, 2, 2) ('*', '/', '+') [0.66666666666666663] [24.0]
(1, 6, 2, 2) ('*', '/', '*') [0.66666666666666663] [24.0]
(1, 6, 2, 2) ('/', '*', '+') [24.0] [0.66666666666666663]
(1, 6, 2, 2) ('/', '*', '*') [24.0] [0.66666666666666663]
(1, 6, 2, 6) ('*', '*', '-') [24] [24]
(1, 6, 2, 6) ('*', '/', '-') [0.66666666666666663] [24.0]
(1, 6, 2, 6) ('/', '*', '-') [24.0] [0.66666666666666663]
(1, 6, 2, 8) ('*', '*', '/') [24.0] [24.0]
(1, 6, 2, 8) ('*', '/', '/') [0.66666666666666663] [24.0]
(1, 6, 2, 8) ('/', '*', '/') [24.0] [0.66666666666666663]
(1, 6, 2, 9) ('+', '*', '*') [109] [24]
(1, 6, 2, 9) ('+', '/', '*') [4.0] [24.0]
(1, 6, 2, 9) ('*', '+', '*') [24] [126]
